cusip,par_traded,price,yield,maturity_date,settlement_date
589659DW8,50000.00,113.461,2.143,2025-12-01,2017-12-29
745235B42,15000.00,19.790,,2037-07-01,2017-12-29
745235B42,15000.00,19.990,,2037-07-01,2017-12-29
745235SW2,15000.00,17.980,,2026-07-01,2017-12-29
745235A68,10000.00,18.210,,2023-07-01,2017-12-29
745235A68,10000.00,18.189,,2023-07-01,2017-12-29
745235SW2,15000.00,18.000,,2026-07-01,2017-12-29
838530PC1,25000.00,89.770,4.168,2029-01-01,2017-12-29
838530PC1,25000.00,89.770,4.168,2029-01-01,2017-12-29
35483LMD4,500000.00,118.325,1.998,2024-07-15,2017-12-29
463777YP1,100000.00,99.574,2.370,2021-09-15,2017-12-29
44420PDQ4,50000.00,107.859,2.376,2047-02-15,2017-12-29
60637ACW0,5000.00,101.855,3.581,2042-11-15,2017-12-29
517845AH6,10000.00,118.074,1.988,2024-06-01,2017-12-29
517845AH6,10000.00,117.994,2.000,2024-06-01,2017-12-29
786009BW9,20000.00,114.441,1.660,2022-07-01,2017-12-29
786009BW9,20000.00,114.521,1.643,2022-07-01,2017-12-29
676295EL8,50000.00,116.459,1.820,2023-06-15,2017-12-29
676295EL8,50000.00,116.459,1.820,2023-06-15,2017-12-29
79904NER7,60000.00,110.164,2.298,2029-06-15,2017-12-29
64990E5G8,10000.00,103.440,1.900,2019-02-15,2017-12-29
847172HY2,50000.00,95.000,3.341,2038-04-01,2017-12-29
64966J2K1,900000.00,113.542,1.999,2030-10-01,2017-12-29
64990E5G8,10000.00,103.190,2.120,2019-02-15,2017-12-29
751093FL4,500000.00,100.000,,2034-02-01,2017-12-28
14760NAU4,15000.00,99.796,5.428,2020-06-01,2017-12-29
864744AL1,5000.00,105.379,2.988,2024-11-01,2017-12-29
91802RBL2,5000.00,99.835,3.014,2031-12-15,2017-12-29
864744AL1,5000.00,105.379,2.988,2024-11-01,2017-12-29
659666VD0,5000.00,98.628,3.113,2033-04-01,2017-12-29
91802RBL2,5000.00,99.835,3.014,2031-12-15,2017-12-29
659666VD0,5000.00,98.628,3.113,2033-04-01,2017-12-29
87638QMB2,5000.00,106.630,2.621,2040-08-15,2017-12-29
87638QMB2,5000.00,106.630,2.621,2040-08-15,2017-12-29
442331T46,5000.00,106.696,1.840,2020-03-01,2017-12-29
68428PEV3,30000.00,103.830,1.441,2035-02-01,2017-12-29
051690EZ4,235000.00,101.349,1.520,2018-12-01,2017-12-29
68428PEV3,30000.00,103.730,1.531,2035-02-01,2017-12-29
485096AV3,5000.00,95.907,3.300,2036-04-01,2017-12-29
649903B91,100000.00,101.832,1.351,2026-07-01,2017-12-29
649903B91,100000.00,101.832,1.351,2026-07-01,2017-12-29
649903B91,100000.00,101.832,1.351,2026-07-01,2017-12-29
13033LFH5,5000.00,104.877,2.329,2036-11-15,2017-12-29
13068LH24,10000.00,121.514,2.275,2026-10-01,2017-12-29
68428PEV3,30000.00,103.830,1.441,2035-02-01,2017-12-29
797355T79,100000.00,109.394,2.179,2028-07-01,2017-12-29
68428PEV3,30000.00,103.830,1.441,2035-02-01,2017-12-29
13068LLK9,385000.00,117.355,1.850,2024-11-01,2017-12-29
13068LLK9,385000.00,117.295,1.860,2024-11-01,2017-12-29
677522HN7,10000.00,121.175,2.293,2026-09-01,2017-12-29
44420PDQ4,50000.00,107.859,2.376,2047-02-15,2017-12-29
60637ACW0,5000.00,101.355,3.693,2042-11-15,2017-12-29
485096AV3,5000.00,95.407,3.337,2036-04-01,2017-12-29
783186QQ5,25000.00,112.452,2.493,2032-05-01,2017-12-29
778102Q63,5000.00,108.872,1.980,2025-02-01,2017-12-29
778102Q63,5000.00,108.872,1.980,2025-02-01,2017-12-29
914716D69,50000.00,101.450,3.273,2031-04-01,2017-12-29
797355T79,100000.00,109.334,2.191,2028-07-01,2017-12-29
796846DZ3,100000.00,113.477,1.643,2024-03-01,2017-12-29
98816PAM4,40000.00,117.692,2.123,2026-08-15,2017-12-29
52976BCB0,15000.00,101.024,3.850,2043-01-01,2017-12-29
74529JNV3,1000000.00,37.000,,2046-08-01,2017-12-29
13068LZW8,20000.00,97.475,3.200,2034-04-01,2017-12-29
0124288B7,150000.00,99.010,2.193,2023-06-15,2017-12-29
442331T46,5000.00,106.196,2.067,2020-03-01,2017-12-29
341271AA2,15000.00,99.968,2.184,2019-07-01,2017-12-29
79904NER7,60000.00,110.164,2.298,2029-06-15,2017-12-29
341271AA2,15000.00,99.968,2.184,2019-07-01,2017-12-29
0124288B7,150000.00,99.260,2.144,2023-06-15,2017-12-29
0124288B7,150000.00,99.010,2.193,2023-06-15,2017-12-29
708475SH2,25000.00,96.328,2.499,2026-03-01,2017-12-29
708475SH2,25000.00,96.078,2.534,2026-03-01,2017-12-29
684545YL4,10000.00,111.326,1.862,2021-10-01,2017-12-29
708475SH2,25000.00,95.886,2.560,2026-03-01,2017-12-29
745401AP4,35000.00,98.920,3.107,2030-02-01,2017-12-29
30383ACE9,50000.00,100.100,3.815,2025-04-01,2017-12-29
708475SH2,25000.00,95.636,2.595,2026-03-01,2017-12-29
59333NYV9,75000.00,105.671,3.250,2039-10-01,2017-12-29
59333NYV9,75000.00,105.671,3.250,2039-10-01,2017-12-29
64971QK93,100000.00,114.388,1.875,2026-11-01,2017-12-29
470844Z95,150000.00,98.180,2.111,2021-02-01,2017-12-29
684545YL4,10000.00,111.451,1.830,2021-10-01,2017-12-29
91412GYQ2,10000.00,118.678,2.238,2031-05-15,2017-12-29
60636C8E2,5000.00,100.964,4.000,2038-04-01,2017-12-29
455057VK2,10000.00,105.500,2.307,2038-12-01,2017-12-29
14760NAU4,15000.00,99.796,5.428,2020-06-01,2017-12-29
787219AC8,5000.00,99.000,5.462,2035-11-01,2018-01-04
455057VK2,10000.00,105.500,2.307,2038-12-01,2017-12-29
494890A22,100000.00,110.384,1.362,2020-12-01,2017-12-29
917563MW5,10000.00,100.000,2.999,2032-12-01,2017-12-29
494890A22,100000.00,109.427,1.680,2020-12-01,2017-12-29
89438LCD8,75000.00,113.304,2.386,2032-01-01,2017-12-29
718814Q41,5000.00,120.142,2.371,2026-07-01,2017-12-29
709235XP5,40000.00,118.511,2.020,2024-09-01,2017-12-29
424672WN9,100000.00,111.640,2.010,2024-04-01,2017-12-29
12343EBK5,50000.00,100.574,1.650,2019-09-01,2017-12-29
64971QK93,100000.00,114.328,1.887,2026-11-01,2017-12-29
64971QK93,100000.00,114.328,1.887,2026-11-01,2017-12-29
57584XTL5,20000.00,111.263,2.520,2035-07-01,2017-12-29
574300HB8,10000.00,100.878,2.988,2029-07-01,2017-12-29
01753PDZ1,1255000.00,108.524,3.000,2029-12-01,2017-12-28
574300HB8,10000.00,100.878,2.988,2029-07-01,2017-12-29
565566AE6,20000.00,100.885,1.200,2040-03-01,2017-12-29
70914PTQ5,155000.00,107.410,1.639,2020-04-01,2017-12-29
70914PTQ5,155000.00,107.160,1.747,2020-04-01,2017-12-29
57584XTC5,150000.00,114.338,2.146,2027-07-01,2017-12-29
74526QUX8,10000.00,27.880,,2021-07-01,2017-12-29
74526QUX8,10000.00,27.880,,2021-07-01,2017-12-29
839097AK8,35000.00,102.932,1.630,2019-04-01,2017-12-29
48619KCG0,135000.00,105.347,2.190,2025-03-01,2017-12-29
574300HB8,10000.00,99.465,4.811,2029-07-01,2017-12-29
661707FQ7,500000.00,102.860,2.279,2028-06-01,2017-12-29
34153PGA0,300000.00,102.610,1.564,2033-06-01,2017-12-27
839097AK8,35000.00,103.032,1.550,2019-04-01,2017-12-29
839097AK8,35000.00,103.032,1.550,2019-04-01,2017-12-29
60636C8E2,5000.00,100.464,4.128,2038-04-01,2017-12-29
783186QQ5,25000.00,112.452,2.493,2032-05-01,2017-12-29
